Month,State,Source,Unit,Installed_Capacity
2019-07-01,Jammu and Kashmir,Coal,MW,0
2019-07-01,Punjab,Coal,MW,5680
2019-07-01,Rajasthan,Coal,MW,9160
2019-07-01,Uttar Pradesh,Coal,MW,21749
2019-07-01,Uttarakhand,Coal,MW,0
2019-07-01,Andaman & Nicobar Islands,Coal,MW,0
2019-07-01,Bihar,Coal,MW,6390
2019-07-01,Jharkhand,Coal,MW,4590
2019-07-01,Odisha,Coal,MW,8340
2019-07-01,Sikkim,Coal,MW,0
2019-07-01,West Bengal,Coal,MW,14287
2019-07-01,Chhatisgarh,Coal,MW,23328
2019-07-01,Dadra & Nagar Haveli,Coal,MW,0
2019-07-01,Daman & Diu,Coal,MW,0
2019-07-01,Goa,Coal,MW,0
2019-07-01,Gujarat,Coal,MW,15492
2019-07-01,Madhya Pradesh,Coal,MW,19830
2019-07-01,Maharashtra,Coal,MW,25886
2019-07-01,Andhra Pradesh.,Coal,MW,11590
2019-07-01,Karnataka,Coal,MW,9480
2019-07-01,Kerala,Coal,MW,0
2019-07-01,Lakshadweep,Coal,MW,0
2019-07-01,Puducherry,Coal,MW,0
2019-07-01,Tamil Nadu,Coal,MW,12660
2019-07-01,Telangana,Coal,MW,7182.5
2019-07-01,Arunachal Pradesh,Coal,MW,0
2019-07-01,Assam,Coal,MW,750
2019-07-01,Manipur,Coal,MW,0
2019-07-01,Meghalaya,Coal,MW,0
2019-07-01,Mizoram,Coal,MW,0
2019-07-01,Nagaland,Coal,MW,0
2019-07-01,Tripura,Coal,MW,0
2019-08-01,Chandigarh,Coal,MW,0
2019-08-01,Delhi,Coal,MW,135
2019-08-01,Haryana,Coal,MW,5540
2019-08-01,Himachal Pradesh,Coal,MW,0
2019-08-01,Jammu and Kashmir,Coal,MW,0
2019-08-01,Punjab,Coal,MW,5680
2019-08-01,Rajasthan,Coal,MW,9160
2019-08-01,Uttar Pradesh,Coal,MW,21749
2019-08-01,Uttarakhand,Coal,MW,0
2019-08-01,Andaman & Nicobar Islands,Coal,MW,0
2019-08-01,Bihar,Coal,MW,6390
2019-08-01,Jharkhand,Coal,MW,4590
2019-08-01,Odisha,Coal,MW,9000
2019-08-01,Sikkim,Coal,MW,0
2019-08-01,West Bengal,Coal,MW,14287
2019-08-01,Chhatisgarh,Coal,MW,23128
2019-08-01,Dadra & Nagar Haveli,Coal,MW,0
2019-08-01,Daman & Diu,Coal,MW,0
2019-08-01,Goa,Coal,MW,0
2019-08-01,Gujarat,Coal,MW,15492
2019-08-01,Madhya Pradesh,Coal,MW,19830
2019-08-01,Maharashtra,Coal,MW,25886
2019-08-01,Andhra Pradesh.,Coal,MW,11590
2019-08-01,Karnataka,Coal,MW,9480
2019-08-01,Kerala,Coal,MW,0
2019-08-01,Lakshadweep,Coal,MW,0
2019-08-01,Puducherry,Coal,MW,0
2019-08-01,Tamil Nadu,Coal,MW,12660
2019-08-01,Telangana,Coal,MW,7182.5
2019-08-01,Arunachal Pradesh,Coal,MW,0
2019-08-01,Assam,Coal,MW,750
2019-08-01,Manipur,Coal,MW,0
2019-08-01,Meghalaya,Coal,MW,0
2019-08-01,Mizoram,Coal,MW,0
2019-08-01,Nagaland,Coal,MW,0
2019-08-01,Tripura,Coal,MW,0
2019-09-01,Chandigarh,Coal,MW,0
2019-09-01,Delhi,Coal,MW,0
2019-09-01,Haryana,Coal,MW,5540
2019-09-01,Himachal Pradesh,Coal,MW,0
2019-09-01,Jammu and Kashmir,Coal,MW,0
2019-09-01,Punjab,Coal,MW,5680
2019-09-01,Rajasthan,Coal,MW,9160
2019-09-01,Uttar Pradesh,Coal,MW,22409
2019-09-01,Uttarakhand,Coal,MW,0
